match,decision,turn,seat,agent,action,value,complete,decision_seconds,decision_limit_seconds,deadline_hit,lethal_proof_seconds,total_search_seconds,first_found_seconds,stabilized_seconds,remaining_search_seconds,strategy_wave,strategy_focus_position,strategy_focus_count
2,18,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":0}]]]""]}",0.0,True,0.2940806999686174,120.0,False,0.2649999999557622,0.2940806999686174,,,,,,
2,19,,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1145,\""playerIndex\"":0}]]]""]}",0.0,True,0.14527280000038445,120.0,False,0.125,0.14527280000038445,,,,,,
2,20,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1031,\""playerIndex\"":0}]]]""]}",0.0,True,0.15690999996149912,120.0,False,0.125,0.15690999996149912,,,,,,
2,21,,0,mega_starmie,"{""kind"":""evolve"",""parts"":[""[0,{\""type\"":9},[[2,{\""id\"":1031,\""playerIndex\"":0}],[4,{\""appearThisTurn\"":false,\""energies\"":[3],\""energyCards\"":[{\""id\"":3,\""playerIndex\"":0}],\""hp\"":20,\""id\"":1030,\""maxHp\"":70,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.0,True,0.07525280001573265,120.0,False,0.046999999962281436,0.07525280001573265,,,,,,
2,22,,0,mega_starmie,"{""kind"":""attack"",""parts"":[""[0,{\""attackId\"":1487,\""type\"":13},[]]""]}",0.0,True,0.04837770003359765,120.0,False,0.03200000000651926,0.04837770003359765,,,,,,
2,23,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""area\"":6,\""index\"":0,\""playerIndex\"":0,\""type\"":3},[]]""]}",0.0,True,0.037652899976819754,120.0,False,0.014999999955762178,0.037652899976819754,,,,,,
3,0,,0,mega_starmie,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.00018069997895509005,,False,,0.00018069997895509005,,,,,,
3,1,,0,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00027520000003278255,,False,,0.00027520000003278255,,,,,,
3,2,,1,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.0010849999962374568,,False,,0.0010849999962374568,,,,,,
3,3,,0,mega_starmie,"{""kind"":""free_draw_count"",""parts"":[38]}",0.0,True,0.00021700002253055573,,False,,0.00021700002253055573,,,,,,
3,4,,0,mega_starmie,"{""kind"":""setup_bench_decline"",""parts"":[2]}",0.0,True,0.00017119996482506394,,False,,0.00017119996482506394,,,,,,
3,5,1,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1086,\""playerIndex\"":1}]]]""]}",0.3126666666666667,True,0.5660592000349425,120.0,False,0.23399999999674037,0.2649999999557622,0.23399999999674037,0.23399999999674037,0.030999999959021807,first,1,2
3,6,1,1,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":1}]]]"",""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":1}]]]""]}",0.446,True,0.6084647999959998,120.0,False,0.26600000000325963,0.2970000000204891,0.23399999999674037,0.23399999999674037,0.06300000002374873,widening,,0
3,7,1,1,mega_starmie,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":70,\""id\"":1030,\""maxHp\"":70,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.216,True,0.20656610000878572,120.0,False,0.0940000000409782,0.07900000002700835,0.07900000002700835,0.07900000002700835,0.0,first,1,1
3,8,1,1,mega_starmie,"{""kind"":""end"",""parts"":[""[1,{\""type\"":14},[]]""]}",0.0,True,0.1218362000072375,120.0,False,0.046999999962281436,0.0470000000204891,0.0,0.0,0.0470000000204891,first,,0
3,9,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1030,\""playerIndex\"":0}]]]""]}",2.0430273890506023,True,52.04826690000482,120.0,False,0.4380000000237487,51.54699999996228,51.23499999998603,51.23499999998603,0.3119999999762513,widening,,3
3,10,2,0,mega_starmie,"{""kind"":""attach"",""parts"":[""[0,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":0}],[4,{\""appearThisTurn\"":false,\""energies\"":[],\""energyCards\"":[],\""hp\"":160,\""id\"":666,\""maxHp\"":160,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",1.9830273890506023,True,28.198667899996508,120.0,False,0.35899999999674037,27.81199999997625,17.28100000001723,17.28100000001723,10.530999999959022,first,2,3
3,11,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1120,\""playerIndex\"":0}]]]""]}",1.2241702461934594,True,6.9500617000157945,120.0,False,0.875,6.047000000020489,3.8439999999827705,3.8439999999827705,2.2030000000377186,widening,,0
3,12,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1225,\""playerIndex\"":0}]]]""]}",1.0942150016196444,True,1.8095457999734208,120.0,False,0.28100000001722947,1.5320000000065193,1.5320000000065193,1.5320000000065193,0.0,widening,,0
3,13,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1031,\""playerIndex\"":0}]]]""]}",1.2275488451570593,True,1.206136399996467,120.0,False,0.2649999999557622,0.9060000000172295,0.4690000000409782,0.4690000000409782,0.4369999999762513,widening,,0
3,14,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":0}]]]""]}",0.704215511823726,True,0.7613517999998294,120.0,False,0.28100000001722947,0.45400000002700835,0.3600000000442378,0.3600000000442378,0.09399999998277053,widening,,0
3,15,2,0,mega_starmie,"{""kind"":""attack"",""parts"":[""[0,{\""attackId\"":965,\""type\"":13},[]]""]}",0.6542150016196443,True,0.18151640001451597,120.0,False,0.0779999999795109,0.09399999998277053,0.09399999998277053,0.09399999998277053,0.0,first,,0
3,16,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":0}]]]""]}",0.1599104891476302,True,5.131112499977462,120.0,False,0.03200000000651926,5.077999999979511,2.952999999979511,2.952999999979511,2.125,widening,,0
3,17,,0,mega_starmie,"{""kind"":""forced_selection"",""parts"":[21]}",0.0,True,0.002521499991416931,120.0,False,,0.002521499991416931,,,,,,
4,0,,0,mega_starmie,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.00015269999857991934,,False,,0.00015269999857991934,,,,,,
4,1,,0,mega_starmie,"{""kind"":""mulligan"",""parts"":[42]}",0.0,True,0.00030559999868273735,,False,,0.00030559999868273735,,,,,,
4,2,,0,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.0002245000214315951,,False,,0.0002245000214315951,,,,,,
4,3,,1,mega_starmie,"{""kind"":""mulligan"",""parts"":[42]}",0.0,True,0.00036020000698044896,,False,,0.00036020000698044896,,,,,,
4,4,,1,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00017770001431927085,,False,,0.00017770001431927085,,,,,,
4,5,,0,mega_starmie,"{""kind"":""free_draw_count"",""parts"":[38]}",0.0,True,0.00026729999808594584,,False,,0.00026729999808594584,,,,,,
4,6,,0,mega_starmie,"{""kind"":""setup_bench_decline"",""parts"":[2]}",0.0,True,0.00014899997040629387,,False,,0.00014899997040629387,,,,,,
4,7,1,1,mega_starmie,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":160,\""id\"":666,\""maxHp\"":160,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.28266666666666673,True,0.6315972000011243,120.0,False,0.061999999976251274,0.5310000000172295,0.32800000003771856,0.32800000003771856,0.2029999999795109,first,3,3
4,8,1,1,mega_starmie,"{""kind"":""end"",""parts"":[""[1,{\""type\"":14},[]]""]}",0.0,True,0.5096598999807611,120.0,False,0.061999999976251274,0.4220000000204891,0.031000000017229468,0.031000000017229468,0.39100000000325963,first,,0
4,9,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1030,\""playerIndex\"":0}]]]""]}",1.2631236187243278,True,4.510675499972422,120.0,False,0.32900000002700835,4.10999999998603,4.10999999998603,4.10999999998603,0.0,widening,,3
4,10,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1225,\""playerIndex\"":0}]]]""]}",1.2031236187243277,True,1.9050262000528164,120.0,False,0.26600000000325963,1.6089999999967404,1.5780000000377186,1.5780000000377186,0.030999999959021807,first,1,3
