match,decision,turn,seat,agent,action,value,complete,round_trip_seconds,decision_seconds,decision_limit_seconds,deadline_hit,lethal_proof_seconds,total_search_seconds,first_found_seconds,first_recoverable_seconds,first_full_seconds,stabilized_seconds,execution_tier,fallback_cause,remaining_search_seconds,strategy_wave,strategy_focus_position,strategy_focus_count
1,0,,0,mega_lucario,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.4059999999590218,4.8600020818412304e-05,,False,,4.8600020818412304e-05,,,,,,,,,,
1,1,,0,mega_lucario,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.0,0.00011669995728880167,,False,,0.00011669995728880167,,,,,,,,,,
1,2,,1,mega_lucario,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.0,0.00013369997031986713,,False,,0.00013369997031986713,,,,,,,,,,
1,3,1,0,mega_lucario,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1152,\""playerIndex\"":0}]]]""]}",1.2876666666666667,False,17.063000000081956,16.062808000016958,20.0,False,0.15700000000651926,15.922000000020489,7.125,7.125,7.125,7.125,full,,8.797000000020489,first,2,4
1,4,1,0,mega_lucario,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":677,\""playerIndex\"":0}]]]""]}",1.4509999999999998,True,4.0,3.756404099985957,20.0,False,0.1869999999180436,3.547000000020489,0.8439999999245629,0.8439999999245629,0.8439999999245629,0.8439999999245629,full,,2.7030000000959262,widening,,0
1,5,1,0,mega_lucario,"{""kind"":""attach"",""parts"":[""[0,{\""type\"":8},[[2,{\""id\"":6,\""playerIndex\"":0}],[4,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":110,\""id\"":676,\""maxHp\"":110,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",1.1736666666666666,True,7.202999999979511,6.805029799928889,20.0,False,0.06199999991804361,6.718999999924563,5.25,5.25,5.25,5.25,full,,1.4689999999245629,first,2,4
1,6,,0,mega_lucario,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":675,\""playerIndex\"":0}]]]""]}",1.2243333333333333,True,0.015999999945051968,0.0260418999241665,20.0,False,0.015999999945051968,0.0260418999241665,,,,,,,,,,
1,7,1,0,mega_lucario,"{""kind"":""ability"",""parts"":[""[0,{\""type\"":10},[[5,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":110,\""id\"":675,\""maxHp\"":110,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.1243333333333334,True,4.01500000001397,3.806544000050053,20.0,False,0.0470000000204891,3.75,3.702999999979511,3.702999999979511,3.702999999979511,3.702999999979511,full,,0.0470000000204891,first,1,2
1,8,,0,mega_lucario,"{""kind"":""forced_selection"",""parts"":[8]}",0.0,True,0.0,0.0018273999448865652,20.0,False,,0.0018273999448865652,,,,,,,,,,
1,9,1,0,mega_lucario,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":673,\""playerIndex\"":0}]]]""]}",0.07999999999999996,True,0.2660000000614673,0.2703387000365183,20.0,False,0.125,0.125,0.0779999999795109,0.0779999999795109,0.0779999999795109,0.0779999999795109,full,,0.0470000000204891,widening,,1
1,10,,0,mega_lucario,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":677,\""playerIndex\"":0}]]]""]}",0.06,True,0.0779999999795109,0.08563720004167408,20.0,False,0.0779999999795109,0.08563720004167408,,,,,,,,,,
1,11,,0,mega_lucario,"{""kind"":""end"",""parts"":[""[0,{\""type\"":14},[]]""]}",0.0,True,0.0470000000204891,0.03896210005041212,20.0,False,0.0470000000204891,0.03896210005041212,,,,,,,,,,
1,12,2,1,mega_lucario,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1152,\""playerIndex\"":1}]]]""]}",0.8362380952380958,False,19.14000000001397,19.093827200005762,20.0,True,1.2349999999860302,17.82799999997951,0.10999999998603016,0.10999999998603016,0.10999999998603016,0.10999999998603016,full,,17.71799999999348,first,1,3
1,13,2,1,mega_lucario,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":673,\""playerIndex\"":1}]]]""]}",0.9399466666666672,False,19.31299999996554,19.2163661000086,20.0,True,1.2030000000959262,17.984000000054948,0.0779999999795109,0.0779999999795109,0.0779999999795109,0.0779999999795109,full,,17.906000000075437,widening,,0
1,14,,1,mega_lucario,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1152,\""playerIndex\"":1}]]]""]}",0.1816133333333338,True,0.9060000000754371,0.9020910999970511,20.0,False,0.8900000000139698,0.9020910999970511,,,,,,,,,,
1,15,,1,mega_lucario,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":673,\""playerIndex\"":1}]]]""]}",0.2649466666666671,True,0.625,0.63391460001003,20.0,False,0.6089999999385327,0.63391460001003,,,,,,,,,,
1,16,,1,mega_lucario,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1227,\""playerIndex\"":1}]]]""]}",0.2649466666666671,True,0.14099999994505197,0.13147449993994087,20.0,False,0.125,0.13147449993994087,,,,,,,,,,
1,17,2,1,mega_lucario,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1142,\""playerIndex\"":1}]]]""]}",0.3125757575757576,False,19.70299999997951,19.041501499945298,20.0,True,1.2959999999729916,17.733999999938533,9.108999999938533,9.108999999938533,9.108999999938533,9.108999999938533,full,,8.625,first,1,5
1,18,,1,mega_lucario,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":6,\""playerIndex\"":1}]]]""]}",0.39590909090909093,True,1.2650000000139698,1.2676566001027822,20.0,False,1.25,1.2676566001027822,,,,,,,,,,
1,19,2,1,mega_lucario,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":6,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":false,\""energies\"":[],\""energyCards\"":[],\""hp\"":80,\""id\"":677,\""maxHp\"":80,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.34524242424242424,True,8.797000000020489,8.5087394999573,20.0,False,1.25,7.234000000054948,3.030999999959022,3.030999999959022,3.030999999959022,3.030999999959022,full,,4.203000000095926,first,1,5
1,20,,1,mega_lucario,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":673,\""playerIndex\"":1}]]]""]}",0.08000000000000004,True,1.2809999999590218,1.2655817000195384,20.0,False,1.25,1.2655817000195384,,,,,,,,,,
